Slice;Time;r_20181219_09;c_20181219_09;g_20181219_09;r_20181219_16;c_20181219_16;g_20181219_16;r_20190429_05;c_20190429_05;g_20190429_05;r_20190429_06a;c_20190429_06a;g_20190429_06a;r_20190429_08;c_20190429_08;g_20190429_08;g_20190429_09;r_20190429_12a;c_20190429_12a;g_20190429_12a;r_20190429_13;c_20190429_13;g_20190429_13;r_20190429_14;c_20190429_14;g_20190429_14;r_20190731_20b;c_20190731_20b;r_20190806_06;c_20190806_06;r_20190806_20a;c_20190806_20a;r_20200801_01a;c_20200801_01a;g_20200801_01a;r_20200801_01b;c_20200801_01b;g_20200801_01b;r_20200801_02;c_20200801_02;g_20200801_02;r_20200801_03;c_20200801_03;g_20200801_03;r_20200801_04;c_20200801_04;g_20200801_04;r_20200801_10;c_20200801_10;g_20200801_10;r_20200801_11;c_20200801_11;g_20200801_11;r_20200801_12;c_20200801_12;g_20200801_12;r_20200801_13;c_20200801_13;g_20200801_13;r_20200801_14;c_20200801_14;g_20200801_14;r_20200801_16;c_20200801_16;g_20200801_16;r_20200801_17a;c_20200801_17a;g_20200801_17a;r_20200801_18a;c_20200801_18a;g_20200801_18a;r_20200801_19;c_20200801_19;g_20200801_19;r_20200801_20a;c_20200801_20a;g_20200801_20a;;r_20181219_01b;c_20181219_01b;r_20181219_04b;c_20181219_04b;r_20181219_5;c_20181219_5;r_20181219_8;c_20181219_8;r_20181219_12;c_20181219_12;r_20181219_14;c_20181219_14;r_20190131_3;c_20190131_3;r_20190131_5;c_20190131_5;r_20190131_8II;c_20190131_8II;r_20190322_4;c_20190322_4;r_20190322_7;c_20190322_7;r_20190429_11;c_20190429_11;r_20190731_3;c_20190731_3;r_20190731_7;c_20190731_7;r_20190731_8I;c_20190731_8I;r_20190731_9;c_20190731_9;r_20190731_11;c_20190731_11;r_20190731_12;c_20190731_12;r_20190731_13;c_20190731_13;r_20190731_15;c_20190731_13;r_20190731_18;c_20190731_18;r_20190731_19;c_20190731_19;r_20190731_21;c_20190731_21
124;615;1;5;3448;0;0;4116;1;1;15115;1;1;4941;1;3;6918;9946;1;1;9346;0;0;9285;1;1;4757;1;3;0;0;1;3;1;3;3131;1;5;3588;1;3;3287;1;6;3195;1;5;3121;1;4;3984;1;2;3311;0;0;2360;1;2;2890;1;3;3649;1;2;3683;0;0;2597;0;0;2344;1;3;2567;1;3;3501;;1;2;1;2;0;0;1;7;0;0;0;0;1;5;0;0;1;2;1;4;1;1;0;0;1;2;0;0;1;2;;;1;3;1;5;1;4;1;2;0;0;0;0;0;0
125;620;1;5;3510;0;0;3834;1;1;11941;1;1;4456;1;3;7009;10078;1;1;12297;0;0;9034;1;1;4349;1;3;0;0;1;3;1;3;3432;1;4;3436;1;4;3496;1;5;3257;1;5;3113;1;4;4199;1;1;3360;1;2;2542;1;3;3103;1;3;3821;1;2;3557;0;0;2634;0;0;2412;1;3;2852;1;3;3406;;1;2;1;2;0;0;1;4;0;0;0;0;1;5;1;1;1;3;1;4;1;1;0;0;1;3;0;0;1;2;;;1;3;1;4;1;4;1;2;0;0;0;0;0;0
126;625;1;4;3399;0;0;3748;1;1;11968;1;1;4264;1;4;6534;9701;1;3;11747;0;0;9171;1;1;4235;1;3;0;0;1;3;1;3;3200;1;4;3296;1;4;3735;1;5;3041;1;5;3271;1;4;4278;1;1;3007;1;2;2886;1;2;3037;1;2;4219;1;3;3829;0;0;2579;0;0;2391;1;3;2802;1;3;3518;;1;2;1;2;0;0;1;4;1;1;0;0;1;5;1;2;1;3;1;4;1;1;0;0;1;3;0;0;0;0;;;1;3;1;4;1;4;1;2;0;0;0;0;0;0
127;630;1;4;3803;0;0;3644;1;1;9826;1;2;4043;1;4;6318;8956;1;3;11986;0;0;9403;1;1;4304;1;3;0;0;1;2;1;3;3084;1;3;3177;1;4;3983;1;6;3422;1;5;3216;1;4;4121;0;0;3040;1;4;2699;1;2;2813;1;2;4381;1;3;3458;0;0;2549;0;0;2403;1;4;2780;1;3;3299;;1;2;1;2;1;1;1;4;1;2;0;0;1;5;1;2;1;3;1;4;1;1;0;0;1;3;1;1;1;1;;;1;3;1;4;1;4;1;2;0;0;0;0;0;0
128;635;1;5;4013;0;0;3632;0;0;8780;1;2;3810;1;4;6205;8272;1;3;10946;0;0;9083;1;2;4452;1;3;0;0;1;2;1;4;3145;1;3;3287;1;4;3685;1;6;3047;1;5;3157;1;4;4033;0;0;2892;1;4;2663;1;2;3012;1;2;4037;1;2;3451;0;0;2512;0;0;2365;1;4;2789;1;3;3571;;1;2;1;2;1;1;1;3;1;2;0;0;1;5;1;2;1;3;1;4;1;1;0;0;1;3;1;1;;;;;1;3;1;4;1;4;1;2;0;0;0;0;0;0
129;640;1;4;4112;0;0;3583;0;0;9241;1;2;3735;1;4;6190;7965;1;3;10661;0;0;9216;1;2;4657;1;3;0;0;1;2;1;4;3011;1;3;3292;1;4;3689;1;6;3024;1;5;3047;1;4;3723;0;0;2834;1;4;2617;1;2;3041;1;2;4510;1;2;3421;0;0;2495;0;0;2391;1;4;2734;1;3;3541;;1;2;1;2;1;1;1;3;1;2;1;1;1;6;1;2;1;3;1;4;1;1;0;0;1;4;1;1;;;;;1;3;1;4;1;4;0;0;0;0;1;1;0;0
130;645;1;4;4178;0;0;3616;0;0;9189;1;1;3523;1;4;6261;8126;1;3;9041;0;0;8923;1;2;4511;1;3;0;0;1;2;1;4;3111;1;3;3223;1;4;3538;1;6;2985;1;5;2990;1;4;3511;0;0;2742;1;4;2632;1;3;2858;1;2;4350;1;1;3619;0;0;2623;0;0;2434;1;4;2745;1;3;3767;;1;2;1;2;1;1;1;2;1;2;1;1;1;6;1;2;1;3;1;4;1;1;0;0;1;4;1;1;;;;;1;3;1;4;1;4;0;0;0;0;1;1;0;0
131;650;1;4;4030;0;0;3337;0;0;9075;1;1;4182;1;1;6601;8643;1;3;10866;0;0;9513;1;2;4215;1;3;0;0;1;2;1;5;3113;1;3;3450;1;4;3593;1;6;3137;1;3;3001;1;4;3973;0;0;2750;1;5;2511;1;4;3180;1;2;4555;1;2;3844;0;0;2580;0;0;2442;1;4;2761;1;3;3592;;1;2;1;2;1;1;1;1;1;2;1;1;;;;;;;1;4;1;1;0;0;1;4;1;1;;;;;1;3;1;3;1;4;0;0;0;0;1;1;0;0
132;655;1;3;4180;0;0;3352;0;0;8899;1;1;3983;1;2;6440;11378;1;3;11440;0;0;9724;1;1;3995;1;3;0;0;1;2;1;5;2933;1;2;3770;1;4;3695;1;6;2999;1;2;3138;1;4;3573;0;0;2752;1;5;2514;1;5;2929;1;2;4256;1;2;3928;0;0;2600;0;0;2399;1;4;2782;1;3;3514;;1;2;1;2;1;1;1;1;1;2;1;1;;;;;;;1;4;1;1;0;0;1;4;1;1;;;;;1;3;1;2;1;4;0;0;0;0;1;1;0;0
133;660;1;4;3654;0;0;3380;0;0;9440;1;1;3776;1;3;5994;11343;1;3;9616;0;0;8719;0;0;3238;1;3;0;0;1;2;1;4;3048;1;3;3949;1;5;3601;1;6;3000;1;1;2842;1;4;3443;0;0;2751;1;5;2616;1;5;3205;1;2;3521;1;3;4144;0;0;2616;0;0;2372;1;7;2645;1;3;3564;;1;2;1;4;1;1;0;0;1;2;1;1;;;;;;;1;4;1;2;0;0;1;4;1;1;;;;;1;3;1;2;1;4;0;0;0;0;1;1;0;0
134;665;1;2;3591;0;0;3378;0;0;9697;1;1;3691;1;3;6321;12668;1;3;11043;1;2;13752;0;0;3089;1;3;0;0;1;2;1;4;2846;1;4;3870;1;6;3647;1;6;3062;0;0;2627;1;4;3424;0;0;2830;1;5;2501;1;6;3054;0;0;3151;1;3;3809;0;0;2542;0;0;2380;1;6;2527;1;3;3678;;1;2;1;4;1;1;0;0;1;2;1;1;;;;;;;1;4;1;2;0;0;1;3;1;1;;;;;1;3;1;2;1;3;;;0;0;1;1;0;0
135;670;1;2;3145;0;0;3368;0;0;9068;1;3;3725;1;3;6053;11959;1;3;10710;1;2;14530;0;0;2900;1;3;0;0;1;2;1;4;2965;1;5;3395;1;8;3255;1;6;3029;0;0;2618;1;4;3483;0;0;2746;1;5;2616;1;6;2983;0;0;3090;1;3;3259;0;0;2568;0;0;2401;1;7;2580;1;3;3295;;0;0;1;4;0;0;0;0;1;2;1;1;;;;;;;1;3;1;2;0;0;1;5;1;1;;;;;1;3;1;2;1;3;;;0;0;1;3;0;0
136;675;1;2;2966;0;0;3428;1;2;11084;1;3;3534;1;3;6871;10268;1;4;8389;1;2;15929;0;0;3136;1;3;0;0;1;2;1;4;2856;1;5;3288;1;8;3320;1;7;3150;0;0;2614;1;3;3638;0;0;2873;1;5;2532;1;6;2902;0;0;3000;1;3;3186;0;0;2516;0;0;2425;1;7;2570;1;4;3291;;0;0;1;4;1;2;0;0;1;2;1;1;;;;;;;1;3;1;3;0;0;1;5;1;2;;;;;1;2;0;0;1;3;;;0;0;1;3;0;0
137;680;0;0;2710;0;0;3361;1;3;13151;1;3;3630;1;3;6549;10542;1;4;7818;1;2;16287;0;0;2813;1;3;0;0;1;2;1;5;2843;1;5;3421;1;8;3090;1;7;3000;0;0;2457;1;3;3102;0;0;2779;1;5;2537;1;7;2902;0;0;3099;1;2;3643;0;0;2569;0;0;2448;1;7;2563;1;4;3185;;0;0;1;4;1;2;0;0;1;3;0;0;;;;;;;1;3;1;3;1;1;1;5;1;2;;;;;1;1;0;0;1;3;;;0;0;1;3;0;0
138;685;0;0;2655;0;0;3339;1;3;11550;1;3;3509;1;3;7110;12439;1;4;8493;1;2;14926;0;0;2962;1;3;0;0;1;1;1;5;2877;1;3;3533;1;7;3203;1;7;2910;0;0;2579;1;3;3012;0;0;2716;1;5;2543;1;7;2766;0;0;2935;1;2;3663;0;0;2553;0;0;2426;1;7;2670;1;4;3343;;0;0;1;4;1;2;0;0;1;3;0;0;;;;;;;1;3;1;3;1;2;1;5;1;2;;;;;1;1;0;0;1;2;;;0;0;1;3;1;1
139;690;0;0;2711;0;0;3384;1;4;10421;1;3;3478;1;3;7605;14649;1;4;7605;1;2;15193;0;0;2860;1;3;0;0;1;1;1;5;2925;1;3;3809;1;7;3158;1;7;3304;0;0;2618;1;2;2834;0;0;2799;1;5;2533;1;6;2893;0;0;3083;1;2;3532;0;0;2576;0;0;2427;1;7;2585;1;4;3302;;0;0;1;5;1;2;0;0;1;3;0;0;;;;;;;1;3;1;2;1;2;1;5;1;2;;;;;1;1;0;0;1;2;;;0;0;1;3;1;1
140;695;0;0;2629;0;0;3450;1;4;10029;1;4;3258;1;3;7235;15025;1;3;8054;1;2;17636;0;0;2840;1;3;0;0;1;1;1;5;2832;1;3;3906;1;7;3211;1;4;3389;0;0;2476;0;0;2763;0;0;2727;1;5;2420;1;6;2707;0;0;2994;1;1;3414;0;0;2537;0;0;2413;1;6;2567;1;3;3330;;0;0;1;5;1;2;0;0;1;1;0;0;;;;;;;1;3;1;2;1;2;1;5;1;2;;;;;1;1;0;0;1;2;;;0;0;1;3;1;2
141;700;0;0;2586;0;0;3360;1;4;9707;1;4;3264;1;3;6881;15594;1;3;7040;1;2;16190;0;0;2899;1;3;0;0;1;1;1;5;2948;1;5;3726;1;7;3217;1;4;3344;0;0;2607;0;0;2746;0;0;2769;1;5;2451;1;6;2841;1;1;3020;1;1;3470;0;0;2542;0;0;2463;1;5;2622;1;2;3476;;0;0;1;5;1;2;0;0;1;1;0;0;;;;;;;1;3;0;0;1;2;1;3;1;4;;;;;1;1;0;0;1;1;;;1;2;1;4;1;2
142;705;0;0;2548;0;0;3429;1;4;9582;1;4;3310;1;3;6867;13139;1;3;7742;1;2;15602;0;0;2881;1;1;0;0;1;1;1;5;2937;1;5;3546;1;7;3185;1;3;2820;0;0;2513;0;0;2792;0;0;2826;1;5;2414;1;5;2765;1;1;3498;0;0;2915;0;0;2590;0;0;2441;1;5;2578;1;2;3601;;0;0;1;6;1;2;0;0;1;1;0;0;;;;;;;1;3;0;0;1;3;1;4;1;4;;;;;1;1;0;0;1;1;;;1;2;1;5;1;2
143;710;0;0;2513;0;0;3448;1;4;9832;1;4;3292;1;2;7235;12301;1;2;8645;1;2;15378;0;0;2910;1;1;0;0;1;1;1;6;2996;1;5;3732;1;7;3386;0;0;2711;0;0;2576;0;0;2759;0;0;2818;1;5;2456;1;7;2891;1;2;3684;1;1;3120;0;0;2586;0;0;2397;1;5;2661;1;3;3259;;0;0;1;4;1;2;0;0;1;1;0;0;;;;;;;1;3;0;0;1;3;1;4;1;4;;;;;1;1;0;0;1;1;;;1;2;1;5;1;2
144;715;0;0;2599;0;0;3420;1;3;11057;1;3;3444;1;2;7149;9815;1;1;8595;1;2;14702;0;0;2864;1;1;0;0;0;0;1;4;3046;1;5;3479;1;6;3204;0;0;2662;0;0;2553;0;0;2791;0;0;2887;1;5;2427;1;7;2889;1;2;3862;1;1;3424;0;0;2514;0;0;2437;1;5;2523;1;3;3403;;0;0;1;4;1;4;0;0;1;2;0;0;;;;;;;1;3;1;1;1;3;1;4;1;4;;;;;1;1;0;0;1;1;;;1;2;1;5;1;2
145;720;0;0;2515;0;0;3355;1;3;11658;1;3;3385;1;2;7616;10836;1;1;8754;1;2;15353;0;0;2887;1;1;0;0;0;0;1;4;2981;1;5;3581;1;7;3292;0;0;2648;0;0;2555;0;0;2775;0;0;2812;1;5;2440;1;7;2787;1;4;3728;1;3;3073;0;0;2512;0;0;2469;1;5;2590;1;3;2988;;0;0;1;4;1;4;0;0;1;2;0;0;;;;;;;1;3;1;1;1;3;1;6;1;4;;;;;1;1;0;0;1;1;;;1;2;1;5;1;2
146;725;0;0;2481;0;0;3416;1;3;10274;1;3;3321;1;2;6437;11529;1;1;9071;1;2;11690;0;0;2846;1;1;0;0;0;0;1;4;2978;1;5;3336;1;7;3156;0;0;2591;0;0;2621;0;0;2821;0;0;2903;1;4;2461;1;4;2772;1;3;3650;1;5;3352;0;0;2541;0;0;2431;1;5;2651;1;4;3368;;0;0;1;4;1;4;0;0;1;3;0;0;;;;;;;1;2;1;1;1;4;1;3;1;4;;;;;0;0;0;0;1;1;;;1;2;1;5;1;2
147;730;0;0;2533;0;0;3567;1;3;10431;1;2;3415;1;2;7604;13594;1;1;9575;1;2;11089;0;0;2954;0;0;0;0;0;0;1;5;3078;1;5;3426;1;5;3347;0;0;2590;0;0;2583;0;0;2704;0;0;2812;1;4;2457;1;2;2894;1;3;3568;1;5;3126;0;0;2569;-1;-1;2305;1;5;2682;1;3;3127;;0;0;1;4;1;2;0;0;1;3;0;0;;;;;;;1;2;1;1;1;4;1;4;1;4;;;;;0;0;0;0;1;1;;;1;2;1;5;1;3
148;735;0;0;2553;0;0;3411;1;3;10229;1;3;3342;1;2;6576;13306;1;5;9147;1;2;9995;0;0;3040;0;0;0;0;0;0;1;5;3010;1;5;3334;1;5;3453;0;0;2625;0;0;2536;0;0;2718;0;0;2883;1;4;2523;1;1;2978;1;3;3813;1;5;3169;0;0;2541;;;;1;4;2658;1;2;3008;;0;0;1;4;1;2;0;0;1;3;0;0;;;;;;;1;2;1;1;1;3;1;4;1;2;;;;;0;0;0;0;1;1;;;1;2;1;5;1;3
149;740;0;0;2532;0;0;3548;1;3;10652;1;3;3557;1;2;7329;16752;1;5;9290;1;2;10684;0;0;3014;0;0;0;0;0;0;1;5;3186;1;5;3485;1;6;3520;0;0;2583;0;0;2529;0;0;2763;0;0;2837;1;4;2475;1;1;3088;1;3;3705;1;5;3029;0;0;2550;;;;1;4;2539;0;0;2766;;0;0;1;4;1;2;0;0;1;3;0;0;;;;;;;1;2;1;2;1;2;1;4;1;2;;;;;0;0;0;0;1;1;;;1;2;1;5;1;3
150;745;0;0;2569;0;0;3574;1;3;11180;1;3;3427;1;1;6723;15372;1;5;8502;1;2;11018;0;0;2976;0;0;0;0;0;0;1;4;2888;1;7;3393;1;6;3732;0;0;2598;0;0;2519;0;0;2752;0;0;2927;1;4;2505;1;1;2725;1;4;3713;1;5;3155;0;0;2560;;;;1;4;2522;0;0;2806;;0;0;1;4;1;1;0;0;1;3;0;0;;;;;;;1;1;1;2;1;1;1;4;1;2;;;;;0;0;0;0;0;0;;;1;2;1;5;1;2
151;750;0;0;2521;0;0;3638;1;3;11358;1;3;3779;1;1;6698;11034;1;5;7894;1;2;12399;-1;-1;2419;0;0;0;0;0;0;1;4;3015;1;7;3177;1;6;3532;0;0;2637;0;0;2493;0;0;2773;0;0;2838;1;4;2464;1;1;2591;1;4;3873;1;5;2999;0;0;2592;;;;1;4;2573;0;0;2716;;0;0;1;4;1;1;0;0;1;3;1;1;;;;;;;0;0;1;3;0;0;1;4;1;2;;;;;0;0;0;0;0;0;;;1;2;1;5;1;2
152;755;0;0;2556;0;0;3688;1;3;11253;1;3;3490;1;1;6969;9349;1;5;8263;1;3;12042;;;;0;0;0;0;0;0;1;4;2842;1;8;2877;1;6;3538;0;0;2583;0;0;2501;0;0;2709;0;0;2790;1;4;2481;0;0;2502;1;4;3751;1;5;2961;0;0;2553;;;;1;3;2455;0;0;2785;;1;1;1;4;1;1;0;0;1;4;1;1;;;;;;;0;0;1;3;0;0;1;4;1;2;;;;;0;0;0;0;0;0;;;1;2;1;4;1;2
153;760;0;0;2537;0;0;3425;1;3;13126;1;4;3480;1;1;5936;8844;1;5;8952;1;3;11690;;;;0;0;0;0;0;0;1;4;3128;1;9;3001;1;6;3387;0;0;2657;0;0;2474;0;0;2768;0;0;2852;1;5;2429;0;0;2565;1;6;3726;1;7;3072;0;0;2568;;;;1;3;2578;0;0;2801;;1;1;1;4;1;1;0;0;1;4;1;2;;;;;;;0;0;1;3;0;0;1;4;1;2;;;;;0;0;0;0;0;0;;;0;0;1;4;1;2
154;765;0;0;2549;-1;-1;2973;1;3;13648;1;4;3691;1;1;5712;8910;1;5;9547;1;3;10918;;;;0;0;0;0;0;0;1;4;2954;1;6;2881;1;5;3478;0;0;2598;0;0;2529;0;0;2781;0;0;2911;1;4;2490;0;0;2566;1;6;3610;1;7;2910;-1;-1;2534;;;;1;3;2594;0;0;2929;;1;1;1;4;1;1;0;0;1;4;1;2;;;;;;;0;0;1;3;0;0;1;4;1;3;;;;;0;0;0;0;0;0;;;0;0;1;3;1;2
155;770;0;0;2565;;;;1;3;11594;1;3;4175;1;1;6427;8937;1;5;8241;1;3;10508;;;;0;0;0;0;0;0;1;4;3044;1;5;3188;1;5;3222;0;0;2648;0;0;2504;0;0;2786;0;0;2839;1;4;2440;0;0;2707;1;6;3700;1;7;2881;;;;;;;1;3;2774;0;0;2750;;1;1;1;4;0;0;0;0;1;2;1;2;;;;;;;0;0;1;4;0;0;1;4;1;3;;;;;0;0;0;0;0;0;;;0;0;1;3;1;2
156;775;0;0;2494;;;;1;3;12957;1;4;3753;1;1;6008;13444;1;5;8760;1;3;10928;;;;0;0;0;0;0;0;1;4;2907;1;7;3041;1;5;3369;0;0;2682;0;0;2505;0;0;2798;0;0;2882;1;3;2421;0;0;2599;1;6;3431;1;7;2948;;;;;;;1;2;2477;0;0;2874;;1;1;1;4;0;0;0;0;1;2;1;2;;;;;;;0;0;1;4;0;0;1;4;1;3;;;;;0;0;0;0;0;0;;;0;0;1;3;1;2
157;780;0;0;2560;;;;1;3;13919;1;4;3808;1;1;5724;14481;1;5;7700;1;3;10913;;;;0;0;0;0;0;0;1;3;3089;1;8;3209;1;4;3279;0;0;2679;0;0;2516;0;0;2793;0;0;2939;1;3;2404;0;0;2688;1;6;3768;1;6;2897;;;;;;;1;2;2511;0;0;2765;;1;1;1;2;0;0;0;0;1;1;1;1;;;;;;;0;0;1;4;0;0;1;4;1;3;;;;;0;0;0;0;0;0;;;0;0;1;3;1;1
158;785;0;0;2575;;;;1;3;17059;1;4;3771;1;1;5159;13447;1;5;7363;1;3;9913;;;;0;0;0;0;0;0;1;3;2994;1;8;3402;1;4;3391;0;0;2636;0;0;2582;0;0;2807;0;0;2891;1;3;2420;0;0;2497;1;7;3312;1;6;3000;;;;;;;1;2;2442;0;0;2807;;1;1;1;1;0;0;0;0;1;1;1;2;;;;;;;0;0;1;4;0;0;1;3;1;3;;;;;0;0;0;0;0;0;;;0;0;1;3;1;1
159;790;0;0;2558;;;;1;3;14435;1;4;3736;0;0;4767;13641;1;5;7790;1;4;11572;;;;0;0;0;0;0;0;1;3;2916;1;8;3284;1;3;3429;0;0;2770;0;0;2562;0;0;2820;-1;-1;;1;2;2495;0;0;2609;1;7;3392;1;6;2984;;;;;;;0;0;2432;0;0;2813;;1;1;1;1;0;0;0;0;1;1;1;2;;;;;;;0;0;1;2;0;0;1;3;1;3;;;;;0;0;0;0;0;0;;;0;0;1;3;1;1
160;795;0;0;2600;;;;1;2;14993;1;4;3510;0;0;4587;13756;1;5;8066;1;4;9996;;;;0;0;-1;-1;0;0;1;3;2968;1;8;3322;1;3;3025;0;0;2691;0;0;2575;0;0;2779;;;;1;2;2411;0;0;2563;1;7;3647;1;6;3157;;;;;;;0;0;2385;0;0;2730;;1;1;1;1;0;0;0;0;1;1;1;2;;;;;;;;;;;0;0;1;3;1;3;;;;;0;0;0;0;0;0;;;0;0;1;3;1;1
161;800;0;0;2559;;;;1;2;16815;1;4;3896;0;0;4548;12734;1;5;8580;1;3;10075;;;;0;0;;;0;0;1;2;2941;1;8;3480;1;2;2948;0;0;2642;0;0;2588;0;0;2837;;;;1;2;2383;0;0;2585;1;7;3686;1;6;2884;;;;;;;0;0;2344;0;0;2683;;1;1;0;0;0;0;0;0;1;1;1;2;;;;;;;;;;;0;0;1;3;1;3;;;;;0;0;0;0;0;0;;;0;0;1;2;1;1
162;805;0;0;2603;;;;1;2;12670;1;4;3781;0;0;4676;11861;1;5;8329;1;3;8765;;;;0;0;;;0;0;1;1;2964;1;8;3327;0;0;2675;-1;-1;2561;0;0;2535;0;0;2819;;;;1;2;2336;0;0;2564;1;7;3510;1;6;2877;;;;;;;0;0;2333;0;0;2783;;0;0;0;0;0;0;0;0;1;1;1;3;;;;;;;;;;;0;0;1;3;1;3;;;;;0;0;0;0;0;0;;;0;0;1;2;1;1
163;810;0;0;2686;;;;1;2;13569;1;4;3887;0;0;4519;11734;1;5;7884;;;8804;;;;0;0;;;0;0;1;1;2781;1;8;3480;0;0;2659;;;;0;0;2538;0;0;2864;;;;0;0;2288;0;0;2632;1;7;3406;1;5;3127;;;;;;;0;0;2377;0;0;2729;;1;2;0;0;0;0;0;0;0;0;1;3;;;;;;;;;;;0;0;1;3;1;3;;;;;0;0;0;0;0;0;;;0;0;1;2;1;1
164;815;0;0;2729;;;;1;2;13728;1;5;3908;0;0;4700;11964;1;5;9002;0;0;8119;;;;0;0;;;0;0;1;1;2761;1;8;3319;0;0;2699;;;;0;0;2622;0;0;2792;;;;0;0;2262;0;0;2510;1;5;3582;1;6;3039;;;;;;;0;0;2390;0;0;2866;;1;2;0;0;0;0;0;0;0;0;1;3;;;;;;;;;;;1;1;1;3;1;3;;;;;0;0;0;0;0;0;;;0;0;1;1;1;1
165;820;0;0;2672;;;;1;2;12517;1;5;3823;0;0;4454;12352;1;5;9157;0;0;8174;;;;0;0;;;0;0;0;0;2686;1;7;3434;0;0;2592;;;;0;0;2659;0;0;2763;;;;0;0;2253;0;0;2604;1;5;3789;1;6;2954;;;;;;;0;0;2396;0;0;2774;;1;2;0;0;0;0;0;0;0;0;1;3;;;;;;;;;;;1;2;1;3;1;3;;;;;0;0;0;0;0;0;;;0;0;0;0;0;0
166;825;0;0;2657;;;;1;2;12389;1;3;3748;0;0;4393;10663;1;5;7964;0;0;7931;;;;0;0;;;0;0;0;0;2481;1;7;3416;0;0;2567;;;;-1;-1;2509;0;0;2738;;;;0;0;2308;0;0;2517;1;4;4124;1;6;2980;;;;;;;0;0;2287;0;0;2786;;1;2;0;0;1;1;0;0;0;0;1;3;;;;;;;;;;;1;2;1;3;1;3;;;;;0;0;0;0;0;0;;;0;0;0;0;0;0
167;830;-1;-1;2632;;;;1;2;12587;1;3;3952;0;0;4399;10022;1;5;9535;0;0;8645;;;;0;0;;;0;0;0;0;2596;1;8;3346;0;0;2621;;;;;;;0;0;2734;;;;0;0;2283;0;0;2601;1;4;4351;1;5;3025;;;;;;;0;0;2354;0;0;2827;;1;2;0;0;1;1;0;0;0;0;1;3;;;;;;;;;;;1;3;1;3;1;3;;;;;0;0;0;0;0;0;;;0;0;0;0;0;0
168;835;;;;;;;1;2;11180;1;3;3554;0;0;4581;10180;1;5;8465;0;0;8129;;;;0;0;;;0;0;0;0;2548;1;8;3178;0;0;2626;;;;;;;0;0;2813;;;;0;0;2292;0;0;2539;1;4;3981;1;5;3080;;;;;;;0;0;2285;0;0;2772;;1;2;0;0;1;2;0;0;0;0;1;3;;;;;;;;;;;1;3;1;3;1;3;;;;;0;0;0;0;0;0;;;0;0;0;0;0;0
169;840;;;;;;;1;2;11010;1;3;3846;0;0;4394;9741;1;5;8461;0;0;7745;;;;0;0;;;0;0;0;0;2534;1;8;3335;0;0;2601;;;;;;;0;0;2858;;;;0;0;2271;0;0;2563;1;4;4163;1;6;2997;;;;;;;0;0;2372;0;0;2811;;1;2;0;0;1;2;0;0;0;0;1;2;;;;;;;;;;;1;3;1;3;1;3;;;;;0;0;0;0;0;0;;;0;0;0;0;0;0
170;845;;;;;;;1;2;11051;1;3;3940;0;0;4362;10400;1;4;8933;0;0;7677;;;;0;0;;;0;0;0;0;2542;1;8;3085;0;0;2636;;;;;;;0;0;2827;;;;0;0;2292;0;0;2521;1;3;4035;1;6;3032;;;;;;;0;0;2315;0;0;2845;;1;2;0;0;1;2;0;0;1;1;1;2;;;;;;;;;;;1;4;1;3;1;3;;;;;0;0;0;0;0;0;;;1;2;0;0;0;0
171;850;;;;;;;1;1;9752;1;2;3558;0;0;4553;9778;1;4;8583;0;0;7816;;;;0;0;;;0;0;0;0;2599;1;8;3086;0;0;2678;;;;;;;0;0;2793;;;;0;0;2286;0;0;2567;1;3;4143;1;4;3093;;;;;;;0;0;2373;0;0;2776;;1;2;0;0;1;2;0;0;1;1;1;2;;;;;;;;;;;1;4;1;3;1;3;;;;;0;0;0;0;0;0;;;1;2;0;0;0;0
172;855;;;;;;;0;0;8691;1;3;3331;0;0;4454;11313;1;4;8575;0;0;7793;;;;0;0;;;0;0;0;0;2518;1;8;3173;0;0;2706;;;;;;;0;0;2814;;;;0;0;2350;0;0;2515;1;3;3801;1;4;3082;;;;;;;0;0;2306;0;0;2955;;1;2;0;0;1;4;0;0;1;1;1;2;;;;;;;;;;;1;4;1;3;1;3;;;;;0;0;0;0;0;0;;;1;2;0;0;0;0
173;860;;;;;;;0;0;8220;1;3;3279;0;0;4404;10248;1;4;8372;0;0;7717;;;;0;0;;;0;0;0;0;2483;1;8;3360;0;0;2684;;;;;;;0;0;2906;;;;0;0;2333;0;0;2559;1;3;3950;1;4;3283;;;;;;;0;0;2343;0;0;2811;;;;;;;;;;;;;;;;;;;;;;;;1;4;1;3;1;3;;;;;0;0;0;0;0;0;;;1;3;0;0;0;0
174;865;;;;;;;0;0;8181;1;3;3342;0;0;4469;9152;1;2;9297;0;0;7874;;;;0;0;;;0;0;0;0;2464;1;7;3125;0;0;2657;;;;;;;0;0;2851;;;;0;0;2331;0;0;2542;1;3;3741;1;3;3649;;;;;;;0;0;2319;0;0;2852;;;;;;;;;;;;;;;;;;;;;;;;1;4;1;3;1;3;;;;;0;0;0;0;0;0;;;1;3;0;0;0;0
175;870;;;;;;;0;0;7801;0;0;3195;0;0;4296;8706;1;2;7979;0;0;7281;;;;0;0;;;0;0;0;0;2495;1;7;3220;0;0;2667;;;;;;;0;0;2895;;;;0;0;2316;0;0;2670;1;2;4117;1;4;3454;;;;;;;0;0;2352;0;0;2772;;;;;;;;;;;;;;;;;;;;;;;;1;4;1;3;1;3;;;;;;;;;;;;;1;3;0;0;0;0
